id,delta_tm_wt_centered_c,tier
IsPETaseWT_pool_1576,12.135487,ge_10
IsPETaseWT_pool_345,12.129707,ge_10
IsPETaseWT_pool_2927,12.118133,ge_10
IsPETaseWT_pool_3737,12.115789,ge_10
IsPETaseWT_pool_1466,12.114152,ge_10
IsPETaseWT_pool_2221,12.107598,ge_10
IsPETaseWT_pool_3919,12.107117,ge_10
IsPETaseWT_pool_3979,12.102394,ge_10
IsPETaseWT_pool_3896,12.098519,ge_10
IsPETaseWT_pool_2501,12.094266,ge_10
IsPETaseWT_pool_4141,12.067594,ge_10
IsPETaseWT_pool_3959,12.062640,ge_10
IsPETaseWT_pool_665,12.052354,ge_10
IsPETaseWT_pool_4860,12.050603,ge_10
IsPETaseWT_pool_3022,12.037427,ge_10
IsPETaseWT_pool_2833,12.032615,ge_10
IsPETaseWT_pool_2655,12.031233,ge_10
IsPETaseWT_pool_1022,12.016371,ge_10
IsPETaseWT_pool_1712,12.014529,ge_10
IsPETaseWT_pool_811,12.014508,ge_10
IsPETaseWT_pool_4509,11.996001,ge_10
IsPETaseWT_pool_925,11.988147,ge_10
IsPETaseWT_pool_725,11.987545,ge_10
IsPETaseWT_pool_4001,11.986241,ge_10
IsPETaseWT_pool_3428,11.982388,ge_10
IsPETaseWT_pool_1488,11.980976,ge_10
IsPETaseWT_pool_1896,11.979922,ge_10
IsPETaseWT_pool_1872,11.979055,ge_10
IsPETaseWT_pool_2287,11.968871,ge_10
IsPETaseWT_pool_2665,11.968227,ge_10
IsPETaseWT_pool_116,11.947790,ge_10
IsPETaseWT_pool_4798,11.943258,ge_10
IsPETaseWT_pool_1547,11.938930,ge_10
IsPETaseWT_pool_2245,11.934625,ge_10
IsPETaseWT_pool_518,11.932901,ge_10
IsPETaseWT_pool_527,11.932267,ge_10
IsPETaseWT_pool_3387,11.917003,ge_10
IsPETaseWT_pool_4180,11.908137,ge_10
IsPETaseWT_pool_1445,11.882405,ge_10
IsPETaseWT_pool_3678,11.880719,ge_10
IsPETaseWT_pool_1343,11.874763,ge_10
IsPETaseWT_pool_2336,11.868966,ge_10
IsPETaseWT_pool_3847,11.864347,ge_10
IsPETaseWT_pool_4264,11.854799,ge_10
IsPETaseWT_pool_1971,11.842435,ge_10
IsPETaseWT_pool_95,11.842187,ge_10
IsPETaseWT_pool_3033,11.837876,ge_10
IsPETaseWT_pool_3074,11.837338,ge_10
IsPETaseWT_pool_2372,11.836022,ge_10
IsPETaseWT_pool_4583,11.805700,ge_10
IsPETaseWT_pool_4946,11.800052,ge_10
IsPETaseWT_pool_1558,11.795552,ge_10
IsPETaseWT_pool_3090,11.793382,ge_10
IsPETaseWT_pool_2507,11.790480,ge_10
IsPETaseWT_pool_4529,11.785907,ge_10
IsPETaseWT_pool_2235,11.784415,ge_10
IsPETaseWT_pool_4461,11.782006,ge_10
IsPETaseWT_pool_1997,11.775999,ge_10
IsPETaseWT_pool_3324,11.772504,ge_10
IsPETaseWT_pool_3232,11.753230,ge_10
IsPETaseWT_pool_3291,11.741603,ge_10
IsPETaseWT_pool_3312,11.727512,ge_10
IsPETaseWT_pool_4158,11.725603,ge_10
IsPETaseWT_pool_0,11.721973,ge_10
IsPETaseWT_pool_3787,11.700282,ge_10
IsPETaseWT_pool_1920,11.698450,ge_10
IsPETaseWT_pool_1784,11.684587,ge_10
IsPETaseWT_pool_4571,11.683956,ge_10
IsPETaseWT_pool_1814,11.662373,ge_10
IsPETaseWT_pool_3733,11.659247,ge_10
IsPETaseWT_pool_424,11.656440,ge_10
IsPETaseWT_pool_3838,11.650164,ge_10
IsPETaseWT_pool_2075,11.649475,ge_10
IsPETaseWT_pool_3739,11.648846,ge_10
IsPETaseWT_pool_4000,11.646936,ge_10
IsPETaseWT_pool_3516,11.635985,ge_10
IsPETaseWT_pool_4244,11.621367,ge_10
IsPETaseWT_pool_3644,11.619020,ge_10
IsPETaseWT_pool_1609,11.618794,ge_10
IsPETaseWT_pool_1066,11.617863,ge_10
IsPETaseWT_pool_900,11.614240,ge_10
IsPETaseWT_pool_2563,11.611960,ge_10
IsPETaseWT_pool_577,11.611458,ge_10
IsPETaseWT_pool_1599,11.608121,ge_10
IsPETaseWT_pool_3795,11.567541,ge_10
IsPETaseWT_pool_1935,11.567291,ge_10
IsPETaseWT_pool_4910,11.565329,ge_10
IsPETaseWT_pool_4852,11.563760,ge_10
IsPETaseWT_pool_3300,11.544705,ge_10
IsPETaseWT_pool_3475,11.544267,ge_10
IsPETaseWT_pool_4188,11.541396,ge_10
IsPETaseWT_pool_2361,11.539530,ge_10
IsPETaseWT_pool_2852,11.533843,ge_10
IsPETaseWT_pool_239,11.533746,ge_10
IsPETaseWT_pool_2558,11.525451,ge_10
IsPETaseWT_pool_4255,11.519692,ge_10
IsPETaseWT_pool_2227,11.498609,ge_10
IsPETaseWT_pool_560,11.491749,ge_10
IsPETaseWT_pool_525,11.489885,ge_10
IsPETaseWT_pool_2418,11.475677,ge_10
IsPETaseWT_pool_1822,11.475197,ge_10
IsPETaseWT_pool_2115,11.473291,ge_10
IsPETaseWT_pool_3401,11.463130,ge_10
IsPETaseWT_pool_2973,11.461057,ge_10
IsPETaseWT_pool_1766,11.458993,ge_10
IsPETaseWT_pool_2699,11.453816,ge_10
IsPETaseWT_pool_1716,11.447101,ge_10
IsPETaseWT_pool_2470,11.444173,ge_10
IsPETaseWT_pool_187,11.442915,ge_10
IsPETaseWT_pool_1475,11.439536,ge_10
IsPETaseWT_pool_3931,11.436327,ge_10
IsPETaseWT_pool_1682,11.433151,ge_10
IsPETaseWT_pool_2171,11.422594,ge_10
IsPETaseWT_pool_36,11.422472,ge_10
IsPETaseWT_pool_1735,11.421471,ge_10
IsPETaseWT_pool_3975,11.421030,ge_10
IsPETaseWT_pool_3521,11.415682,ge_10
IsPETaseWT_pool_1885,11.400535,ge_10
IsPETaseWT_pool_3851,11.394193,ge_10
IsPETaseWT_pool_2774,11.384446,ge_10
IsPETaseWT_pool_2749,11.383971,ge_10
IsPETaseWT_pool_1132,11.383345,ge_10
IsPETaseWT_pool_1474,11.377889,ge_10
IsPETaseWT_pool_4556,11.377456,ge_10
IsPETaseWT_pool_4551,11.375916,ge_10
IsPETaseWT_pool_4862,11.365494,ge_10
IsPETaseWT_pool_4664,11.364713,ge_10
IsPETaseWT_pool_298,11.364246,ge_10
IsPETaseWT_pool_4916,11.362280,ge_10
IsPETaseWT_pool_613,11.361922,ge_10
IsPETaseWT_pool_3392,11.357436,ge_10
IsPETaseWT_pool_2732,11.355846,ge_10
IsPETaseWT_pool_1642,11.355382,ge_10
IsPETaseWT_pool_1901,11.354359,ge_10
IsPETaseWT_pool_1918,11.348742,ge_10
IsPETaseWT_pool_861,11.345171,ge_10
IsPETaseWT_pool_716,11.332063,ge_10
IsPETaseWT_pool_563,11.325926,ge_10
IsPETaseWT_pool_2366,11.318829,ge_10
IsPETaseWT_pool_886,11.318769,ge_10
IsPETaseWT_pool_4291,11.314643,ge_10
IsPETaseWT_pool_3890,11.310266,ge_10
IsPETaseWT_pool_150,11.310175,ge_10
IsPETaseWT_pool_4562,11.294211,ge_10
IsPETaseWT_pool_143,11.293817,ge_10
IsPETaseWT_pool_4825,11.290190,ge_10
IsPETaseWT_pool_432,11.289947,ge_10
IsPETaseWT_pool_3166,11.288506,ge_10
IsPETaseWT_pool_2603,11.288019,ge_10
IsPETaseWT_pool_4851,11.285361,ge_10
IsPETaseWT_pool_2601,11.278591,ge_10
IsPETaseWT_pool_4975,11.271530,ge_10
IsPETaseWT_pool_2721,11.271265,ge_10
IsPETaseWT_pool_1884,11.265069,ge_10
IsPETaseWT_pool_3932,11.260658,ge_10
IsPETaseWT_pool_2179,11.259393,ge_10
IsPETaseWT_pool_3893,11.256983,ge_10
IsPETaseWT_pool_4298,11.254249,ge_10
IsPETaseWT_pool_4455,11.246644,ge_10
IsPETaseWT_pool_538,11.246023,ge_10
IsPETaseWT_pool_1516,11.242199,ge_10
IsPETaseWT_pool_2862,11.238971,ge_10
IsPETaseWT_pool_888,11.234068,ge_10
IsPETaseWT_pool_3226,11.233890,ge_10
IsPETaseWT_pool_4401,11.227376,ge_10
IsPETaseWT_pool_1055,11.226394,ge_10
IsPETaseWT_pool_947,11.219798,ge_10
IsPETaseWT_pool_4130,11.215179,ge_10
IsPETaseWT_pool_1500,11.214199,ge_10
IsPETaseWT_pool_1465,11.212690,ge_10
IsPETaseWT_pool_2055,11.210670,ge_10
IsPETaseWT_pool_3323,11.196711,ge_10
IsPETaseWT_pool_196,11.195704,ge_10
IsPETaseWT_pool_3757,11.189095,ge_10
IsPETaseWT_pool_1010,11.188328,ge_10
IsPETaseWT_pool_2447,11.177894,ge_10
IsPETaseWT_pool_4423,11.173353,ge_10
IsPETaseWT_pool_1931,11.172542,ge_10
IsPETaseWT_pool_4312,11.165289,ge_10
IsPETaseWT_pool_719,11.161456,ge_10
IsPETaseWT_pool_2653,11.150178,ge_10
IsPETaseWT_pool_1785,11.147974,ge_10
IsPETaseWT_pool_2456,11.144803,ge_10
IsPETaseWT_pool_2350,11.140993,ge_10
IsPETaseWT_pool_1376,11.138803,ge_10
IsPETaseWT_pool_4723,11.127662,ge_10
IsPETaseWT_pool_904,11.125810,ge_10
IsPETaseWT_pool_997,11.122667,ge_10
IsPETaseWT_pool_635,11.121410,ge_10
IsPETaseWT_pool_423,11.120639,ge_10
IsPETaseWT_pool_4712,11.117108,ge_10
IsPETaseWT_pool_327,11.114965,ge_10
IsPETaseWT_pool_1434,11.099678,ge_10
IsPETaseWT_pool_1789,11.098194,ge_10
IsPETaseWT_pool_219,11.089867,ge_10
IsPETaseWT_pool_4590,11.087793,ge_10
IsPETaseWT_pool_56,11.087045,ge_10
IsPETaseWT_pool_2847,11.084233,ge_10
IsPETaseWT_pool_1410,11.080427,ge_10
IsPETaseWT_pool_4363,11.075967,ge_10
IsPETaseWT_pool_781,11.073053,ge_10
IsPETaseWT_pool_320,11.066719,ge_10
IsPETaseWT_pool_2669,11.066566,ge_10
IsPETaseWT_pool_3865,11.066208,ge_10
IsPETaseWT_pool_1562,11.065274,ge_10
IsPETaseWT_pool_4064,11.056237,ge_10
IsPETaseWT_pool_3306,11.054262,ge_10
IsPETaseWT_pool_4896,11.040770,ge_10
IsPETaseWT_pool_890,11.037990,ge_10
IsPETaseWT_pool_463,11.037187,ge_10
IsPETaseWT_pool_4789,11.036486,ge_10
IsPETaseWT_pool_2368,11.034598,ge_10
IsPETaseWT_pool_2878,11.027284,ge_10
IsPETaseWT_pool_4645,11.026929,ge_10
IsPETaseWT_pool_4830,11.023440,ge_10
IsPETaseWT_pool_2338,11.022945,ge_10
IsPETaseWT_pool_1667,11.007636,ge_10
IsPETaseWT_pool_1686,11.004224,ge_10
IsPETaseWT_pool_746,10.999953,ge_10
IsPETaseWT_pool_1871,10.996274,ge_10
IsPETaseWT_pool_243,10.991171,ge_10
IsPETaseWT_pool_4682,10.985551,ge_10
IsPETaseWT_pool_4414,10.979617,ge_10
IsPETaseWT_pool_1048,10.979454,ge_10
IsPETaseWT_pool_338,10.972944,ge_10
IsPETaseWT_pool_3211,10.971713,ge_10
IsPETaseWT_pool_3706,10.966622,ge_10
IsPETaseWT_pool_4406,10.953250,ge_10
IsPETaseWT_pool_1723,10.951941,ge_10
IsPETaseWT_pool_1494,10.951716,ge_10
IsPETaseWT_pool_277,10.946487,ge_10
IsPETaseWT_pool_592,10.935211,ge_10
IsPETaseWT_pool_4297,10.925155,ge_10
IsPETaseWT_pool_2492,10.922529,ge_10
IsPETaseWT_pool_3788,10.919679,ge_10
IsPETaseWT_pool_127,10.911056,ge_10
IsPETaseWT_pool_2869,10.909009,ge_10
IsPETaseWT_pool_4280,10.902438,ge_10
IsPETaseWT_pool_1799,10.901643,ge_10
IsPETaseWT_pool_182,10.901397,ge_10
IsPETaseWT_pool_445,10.899813,ge_10
IsPETaseWT_pool_2062,10.898363,ge_10
IsPETaseWT_pool_4512,10.885904,ge_10
IsPETaseWT_pool_2403,10.883744,ge_10
IsPETaseWT_pool_2859,10.883722,ge_10
IsPETaseWT_pool_2812,10.880809,ge_10
IsPETaseWT_pool_2036,10.879572,ge_10
IsPETaseWT_pool_2357,10.878948,ge_10
IsPETaseWT_pool_1974,10.875731,ge_10
IsPETaseWT_pool_2155,10.871908,ge_10
IsPETaseWT_pool_2694,10.870885,ge_10
IsPETaseWT_pool_2676,10.866071,ge_10
IsPETaseWT_pool_3602,10.862236,ge_10
IsPETaseWT_pool_2517,10.853240,ge_10
IsPETaseWT_pool_1930,10.851215,ge_10
IsPETaseWT_pool_288,10.844347,ge_10
IsPETaseWT_pool_2870,10.842179,ge_10
IsPETaseWT_pool_1811,10.840772,ge_10
IsPETaseWT_pool_1486,10.840726,ge_10
IsPETaseWT_pool_3963,10.839980,ge_10
IsPETaseWT_pool_2428,10.836355,ge_10
IsPETaseWT_pool_78,10.832392,ge_10
IsPETaseWT_pool_1028,10.830943,ge_10
IsPETaseWT_pool_2225,10.830123,ge_10
IsPETaseWT_pool_4230,10.829816,ge_10
IsPETaseWT_pool_4840,10.826328,ge_10
IsPETaseWT_pool_4675,10.822264,ge_10
IsPETaseWT_pool_1045,10.819569,ge_10
IsPETaseWT_pool_4596,10.818089,ge_10
IsPETaseWT_pool_1719,10.816850,ge_10
IsPETaseWT_pool_4434,10.812237,ge_10
IsPETaseWT_pool_1322,10.810311,ge_10
IsPETaseWT_pool_1632,10.809935,ge_10
IsPETaseWT_pool_1644,10.808323,ge_10
IsPETaseWT_pool_4591,10.799311,ge_10
IsPETaseWT_pool_2882,10.794270,ge_10
IsPETaseWT_pool_1820,10.791943,ge_10
IsPETaseWT_pool_1159,10.791645,ge_10
IsPETaseWT_pool_90,10.785130,ge_10
IsPETaseWT_pool_2605,10.777035,ge_10
IsPETaseWT_pool_3943,10.773736,ge_10
IsPETaseWT_pool_1065,10.768712,ge_10
IsPETaseWT_pool_4764,10.763433,ge_10
IsPETaseWT_pool_403,10.754555,ge_10
IsPETaseWT_pool_4405,10.748283,ge_10
IsPETaseWT_pool_4236,10.747204,ge_10
IsPETaseWT_pool_4565,10.742756,ge_10
IsPETaseWT_pool_829,10.735201,ge_10
IsPETaseWT_pool_3227,10.732590,ge_10
IsPETaseWT_pool_2887,10.730343,ge_10
IsPETaseWT_pool_3929,10.723140,ge_10
IsPETaseWT_pool_3535,10.722678,ge_10
IsPETaseWT_pool_761,10.709607,ge_10
IsPETaseWT_pool_2740,10.707773,ge_10
IsPETaseWT_pool_4191,10.707356,ge_10
IsPETaseWT_pool_4984,10.703121,ge_10
IsPETaseWT_pool_318,10.697387,ge_10
IsPETaseWT_pool_2268,10.695956,ge_10
IsPETaseWT_pool_3844,10.691663,ge_10
IsPETaseWT_pool_4884,10.674783,ge_10
IsPETaseWT_pool_2786,10.674043,ge_10
IsPETaseWT_pool_2005,10.672964,ge_10
IsPETaseWT_pool_3295,10.665006,ge_10
IsPETaseWT_pool_1285,10.661991,ge_10
IsPETaseWT_pool_2121,10.644050,ge_10
IsPETaseWT_pool_415,10.638794,ge_10
IsPETaseWT_pool_1507,10.638607,ge_10
IsPETaseWT_pool_4261,10.637699,ge_10
IsPETaseWT_pool_2297,10.636440,ge_10
IsPETaseWT_pool_1744,10.636369,ge_10
IsPETaseWT_pool_2509,10.632657,ge_10
IsPETaseWT_pool_3111,10.629781,ge_10
IsPETaseWT_pool_985,10.629212,ge_10
IsPETaseWT_pool_3832,10.625366,ge_10
IsPETaseWT_pool_4421,10.623256,ge_10
IsPETaseWT_pool_3646,10.620021,ge_10
IsPETaseWT_pool_447,10.616579,ge_10
IsPETaseWT_pool_3359,10.613439,ge_10
IsPETaseWT_pool_4653,10.612785,ge_10
IsPETaseWT_pool_2188,10.608261,ge_10
IsPETaseWT_pool_1324,10.603497,ge_10
IsPETaseWT_pool_2363,10.603083,ge_10
IsPETaseWT_pool_1732,10.602284,ge_10
IsPETaseWT_pool_2791,10.601857,ge_10
IsPETaseWT_pool_2771,10.599283,ge_10
IsPETaseWT_pool_4855,10.598734,ge_10
IsPETaseWT_pool_4842,10.594807,ge_10
IsPETaseWT_pool_2545,10.594005,ge_10
IsPETaseWT_pool_4920,10.592293,ge_10
IsPETaseWT_pool_18,10.586611,ge_10
IsPETaseWT_pool_4633,10.574712,ge_10
IsPETaseWT_pool_3572,10.565163,ge_10
IsPETaseWT_pool_257,10.559175,ge_10
IsPETaseWT_pool_4190,10.557609,ge_10
IsPETaseWT_pool_216,10.553858,ge_10
IsPETaseWT_pool_1643,10.551613,ge_10
IsPETaseWT_pool_3688,10.542917,ge_10
IsPETaseWT_pool_3680,10.542908,ge_10
IsPETaseWT_pool_3177,10.542324,ge_10
IsPETaseWT_pool_2641,10.532455,ge_10
IsPETaseWT_pool_3536,10.531441,ge_10
IsPETaseWT_pool_4876,10.528957,ge_10
IsPETaseWT_pool_3325,10.520893,ge_10
IsPETaseWT_pool_3203,10.518284,ge_10
IsPETaseWT_pool_1824,10.513142,ge_10
IsPETaseWT_pool_1059,10.513017,ge_10
IsPETaseWT_pool_64,10.510173,ge_10
IsPETaseWT_pool_4159,10.510029,ge_10
IsPETaseWT_pool_3110,10.501159,ge_10
IsPETaseWT_pool_2733,10.500076,ge_10
IsPETaseWT_pool_1189,10.497924,ge_10
IsPETaseWT_pool_4113,10.497061,ge_10
IsPETaseWT_pool_4918,10.496579,ge_10
IsPETaseWT_pool_965,10.493508,ge_10
IsPETaseWT_pool_849,10.490672,ge_10
IsPETaseWT_pool_4197,10.487682,ge_10
IsPETaseWT_pool_2946,10.485187,ge_10
IsPETaseWT_pool_2532,10.480617,ge_10
IsPETaseWT_pool_4907,10.469314,ge_10
IsPETaseWT_pool_1512,10.466366,ge_10
IsPETaseWT_pool_4593,10.463008,ge_10
IsPETaseWT_pool_3664,10.461315,ge_10
IsPETaseWT_pool_4388,10.453480,ge_10
IsPETaseWT_pool_1077,10.451454,ge_10
IsPETaseWT_pool_1630,10.449567,ge_10
IsPETaseWT_pool_2828,10.448700,ge_10
IsPETaseWT_pool_4897,10.448077,ge_10
IsPETaseWT_pool_4039,10.439313,ge_10
IsPETaseWT_pool_2677,10.438208,ge_10
IsPETaseWT_pool_2282,10.431713,ge_10
IsPETaseWT_pool_3200,10.426547,ge_10
IsPETaseWT_pool_1215,10.422988,ge_10
IsPETaseWT_pool_2970,10.419839,ge_10
IsPETaseWT_pool_663,10.419532,ge_10
IsPETaseWT_pool_844,10.417211,ge_10
IsPETaseWT_pool_3956,10.403139,ge_10
IsPETaseWT_pool_2822,10.399977,ge_10
IsPETaseWT_pool_4630,10.399488,ge_10
IsPETaseWT_pool_392,10.399353,ge_10
IsPETaseWT_pool_4051,10.397085,ge_10
IsPETaseWT_pool_1772,10.394821,ge_10
IsPETaseWT_pool_4683,10.392604,ge_10
IsPETaseWT_pool_3084,10.388117,ge_10
IsPETaseWT_pool_4027,10.383686,ge_10
IsPETaseWT_pool_3427,10.382886,ge_10
IsPETaseWT_pool_2163,10.378499,ge_10
IsPETaseWT_pool_3310,10.375386,ge_10
IsPETaseWT_pool_4353,10.371454,ge_10
IsPETaseWT_pool_2315,10.362690,ge_10
IsPETaseWT_pool_1911,10.362338,ge_10
